"brandname","color","models","specs","price","price-a","price-b","price-c","manufacturer","screen-size","form/type","tags","pic1","pic2","pic3","pic4"
"Samsung Galaxy Ace 3 3G","Black"," Ace 3 3G GT-S7270 /  GT-S7275 / GT-S7272",,,"8,000","3,000",,"Samsung","4.0 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Samsung Galaxy K Zoom ","Black","K Zoom ",,,"55,000","50,000",,"Samsung","4.8 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"samsung Galaxy Trend","Black","Trend",,,"7,000","No Deal",,"Samsung","4.0 inches","phone","Accelerometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One Mini 2","Black"," One Mini 2",,,"45,000",40000,,"Htc","4.5 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One Mini 2 ","Gold","One Mini 2 ",,,"47,000",43000,,"Htc","4.5 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One M8 gold ","Gold","One M8 ",,,"65,000",60000,,"Htc","5.0 inches","phone","Accelerometer, gyro, proximity, compass, barometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC M8 Dual","Black"," M8 Dual",,,"70,000","65,000",,"Htc","5.0 inches","phone","Accelerometer, gyro, proximity, compass, barometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One XL","Black","One XL",,,"30,000","25,000",,"Htc","4.7 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire 500 ","Black"," Desire 500 ",,,"22,000","18,000",,"Htc","4.3 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One Mini","Black","One Mini",,"42,000","35,000","30,000",,"Htc","4.3 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One M8 grey / silver"," grey / silver","One M8",,"73,000","60,000","55,000",,"Htc","5.0 inches","phone","Accelerometer, gyro, proximity, compass, barometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire 610","Black","Desire 610",,,"25,000","20,000",,"Htc","4.7 inches","phone","Geo-tagging, touch focus, face detection, simultaneous HD video and image recording, HDR","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One S","Black","One S",,,"20,000","17,000",,"Htc","4.3 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire 700","Black"," Desire 700",,,"38,000","30,000",,"Htc","5.0 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One E8 - Dual sim","Black","One E8 - Dual sim",,,"45,000","40,000",,"Htc","5.0 inches","phone","Accelerometer, gyro, proximity, compass, barometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire SV","Black","Desire SV",,,"20,000","17,000",,"Htc","4.3 inches","phone","Accelerometer, proximit","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One M7","Black","One M7",,,"40,000","30,000",,"Htc","4.7 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One Google 32GB","Black"," One Google ",,,"40,000","30,000",,"Htc","5.0 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC One Max","Black"," One Max",,,"55,000","49,000",,"Htc","5.9 inches","phablet","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire 601","Black","Desire 601",,,"28,000","22,000",,"Htc","4.5 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"HTC Desire 816 dual sim","Black","Desire 816 dual sim",,,"35,000","30,000",,"Htc","5.5 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Htc Amaze","Black"," Amaze",,"33,000",,,,"Htc","4.3 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Lumia 520","Black","Lumia 520",,"15,500",,,,"Nokia","4.0 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Lumia 610","Black","Lumia 610",,"20,500",,,,"Nokia","3.7 inches","phone","Accelerometer, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Lumia 925","Black"," Lumia 925",,"40,500",,,,"Nokia","4.5 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Lumia 1020","Black","Lumia 1020",,"62,000",,,,"Nokia","4.5 inches","phone","Accelerometer, gyro, proximity, compass, barometer","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Lumia 1520","Black","Lumia 1520",,"75,000",,,,"Nokia","6.0 inches","phone","Accelerometer, gyro, proximity, compass","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
"Nokia Asha ","Black","Asha N501",,"10,200",,,,"Nokia","3.0 inches","phone","Accelerometer, proximity","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-front.jpg","http://obiweezy.vm/wp-content/uploads/obiwezy-assets/nexus_5_template-back.jpg",,
